Date,Open,High,Low,Close,Adj Close,Volume
2014-05-01,916.908997,976.908997,911.846985,970.908997,730.837463,140466563
2014-06-01,975.271973,979.546997,902.72699,916.362976,689.778748,155972412
2014-07-01,919.635986,966,916.908997,933.271973,723.315979,105629991
2014-08-01,932.18103,983.453979,911.734009,980.72699,760.095154,109607316
2014-09-01,979.091003,999.271973,952.908997,968.72699,750.794739,126470890
2014-10-01,969.817993,1011.27002,931.396973,1010.179993,782.92218,176853568
2014-11-01,1008.539978,1052.72998,989.453979,1014.539978,786.301331,146664765
2014-12-01,1012.359985,1022.070007,938.208984,1001.559998,787.293884,175843514
2015-01-01,1001.559998,1040.72998,971.882996,1020.539978,802.213501,174078434
2015-02-01,1025.449951,1027.73999,947.127014,967.200012,760.284729,180319183
2015-03-01,975.163025,979.41803,919.200012,943.309021,741.5047,202203947
2015-04-01,944.72699,993.708984,942.109009,958.908997,753.767395,120558994
2015-05-01,954.763,1026.439941,928.908997,1018.909973,800.932251,157007677
2015-06-01,1020.97998,1023.159973,891.48999,891.48999,700.771484,199102406
2015-07-01,897.927002,944.291016,889.854004,930.653992,752.782288,191959354
2015-08-01,928.690002,962.835999,879.708984,938.291016,758.959778,161111684
2015-09-01,936.435974,1002.440002,898.908997,1002.440002,810.84845,158402222
2015-10-01,1006.359985,1033.089966,979.744995,1008.869995,816.049377,146200202
2015-11-01,1008,1037.890015,971.562988,1009.960022,816.930969,124746352
2015-12-01,1003.73999,1056.619995,974.099976,1022.72998,839.463196,108650437
2016-01-01,1022.72998,1075.420044,988.471985,1075.420044,882.711548,147142270
2016-02-01,1080.97998,1082.72998,1009.690002,1051.089966,862.741211,150042012
2016-03-01,1050.97998,1088.939941,1016.72998,1076.939941,883.959045,134072322
2016-04-01,1065.050049,1103.449951,1036.579956,1063.420044,872.861938,119539015
2016-05-01,1063.420044,1107.819946,1039.650024,1098.550049,901.696777,100203804
2016-06-01,1100.180054,1195.640015,1030.910034,1195.640015,981.388794,182194640
2016-07-01,1198.359985,1252.359985,1169.449951,1181.449951,995.460571,133992011
2016-08-01,1183.640015,1204.910034,1141.640015,1141.640015,961.917542,119748625
2016-09-01,1152.550049,1220.290039,1129.640015,1191.27002,1003.734619,140476138
2016-10-01,1185.819946,1215.819946,1123.640015,1161.819946,978.920715,157992525
2016-11-01,1162.359985,1167.400024,987.184998,996.218018,839.388611,215053743
2016-12-01,987.054016,1047.27002,969.708984,1038.109985,887.938477,161223285
2017-01-01,1038.109985,1057.420044,995.236023,1012.039978,865.639771,166214323
2017-02-01,1014.539978,1072.800049,989.236023,1066.359985,912.101868,129662123
2017-03-01,1067.23999,1115.449951,991.976013,1105.640015,945.699707,146787403
2017-04-01,1110,1136.72998,1074.650024,1090.910034,933.100586,119737468
2017-05-01,1090.910034,1174.359985,1049.5,1089.5,931.89447,342810022
2017-06-01,1069.5,1069.5,950.599976,951.799988,814.113953,164264037
2017-07-01,952,959.299988,921.200012,936.799988,823.27301,188712339
2017-08-01,942.5,978.400024,939.429993,974.700012,856.580139,170427906
2017-09-01,975,981.771973,914.599976,924.599976,812.551514,179825976
2017-10-01,923.400024,946.599976,898.299988,906,796.205627,174376618
2017-11-01,906.200012,928.5,859.299988,885,777.750427,219885509
2017-12-01,883.5,889.400024,860.700012,875.099976,782.652039,189897446
2018-01-01,875.099976,879.700012,793.700012,804.700012,719.689209,222969333
2018-02-01,807.400024,816.099976,733,740.200012,662.003296,232638609
2018-03-01,739,810.299988,735.5,802.200012,717.453369,281282445
2018-04-01,802.200012,850.400024,789.5,842.799988,753.764221,202749231
2018-05-01,848.5,895.099976,824.099976,833.299988,745.267883,221361173
2018-06-01,837.400024,849.299988,821,838.400024,776.87085,243422537
2018-07-01,832,877.900024,803.299988,813.299988,753.612793,169649677
2018-08-01,814.099976,837.200012,788.799988,810,750.554993,164833242
2018-09-01,810.599976,818.5,760.799988,791.400024,733.320129,193634885
2018-10-01,788.900024,858.700012,773.299988,829.200012,768.345947,223620928
2018-11-01,826.099976,867.700012,813.700012,832.900024,771.774475,235824797
2018-12-01,836.900024,853.099976,744.5,764.200012,721.716675,194749159
2019-01-01,764.200012,829.5,745.700012,825.200012,779.3255,169727264
2019-02-01,828.599976,864.099976,822.599976,847.900024,800.76355,126496417
2019-03-01,856,892,839.700012,850.799988,803.502319,160793545
2019-04-01,855.700012,856.900024,807.400024,836.099976,789.619507,155502512
2019-05-01,839,854.700012,772.5,792.799988,748.726685,175757463
2019-06-01,793.799988,852.599976,783,835.799988,820.787292,222900449
2019-07-01,844.299988,875.299988,826.099976,844.299988,829.134644,192264932
2019-08-01,844.5,869.900024,825.700012,858.5,843.07959,145607260
2019-09-01,874.900024,890.700012,808.900024,881.900024,866.059326,179932622
2019-10-01,882.5,926.700012,852.700012,901.299988,885.110779,186657810
2019-11-01,907.200012,925.435974,8.904,889.700012,873.719177,181628247
2019-12-01,888.400024,969.799988,870.5,944.299988,944.299988,290059994
2020-01-01,944.299988,1033.140015,928.5,1005.799988,1005.799988,165293111
2020-02-01,1007,1073.800049,961.900024,982.799988,982.799988,190794969
2020-03-01,986.900024,1054.199951,789.125977,946.599976,946.599976,414121522
2020-04-01,919.799988,960,829.599976,933.799988,933.799988,212194290
2020-05-01,922.200012,949.400024,908.400024,939,939,37803444
2020-05-07,934.799988,934.799988,918.799988,921.200012,921.200012,12947996
